;vertical_force_1;side_force_1;internal_force_1;external_force_1;vertical_force_2;side_force_2;internal_force_2;external_force_2
0;118.129;87.648;49.882;70.865;120.531;37.587;15.56;85.814
1;98.165;9.84;36.036;33.579;128.606;-18.535;68.534;51.974
2;111.341;40.801;1.654;39.658;117.227;13.645;14.836;76.088
3;93.374;4.23;4.289;3.908;127.505;-25.872;58.403;15.297
4;116.931;57.431;40.763;39.658;125.67;47.756;19.41;66.361
5;106.949;6.731;35.225;41.28;131.543;-14.674;70.156;50.353
6;110.942;35.055;13.341;26.082;123.467;21.304;15.038;81.964
7;94.571;4.838;7.126;0.869;126.771;-26.323;65.09;7.394
8;111.341;56.079;49.477;43.914;131.176;62.816;28.731;81.154
9;112.14;5.852;40.697;39.861;122.733;-15.51;64.887;47.111
10;116.532;47.967;18.473;61.949;113.189;53.355;10.089;94.122
11;101.759;6.393;3.412;2.49;125.303;-21.496;53.742;11.852
12;122.122;44.519;15.028;18.99;125.67;25.873;1.664;52.582
13;113.338;12.071;32.591;46.143;121.632;-18.922;69.548;43.261
14;102.956;24.104;17.596;16.761;127.138;12.165;27.197;75.683
15;98.564;8.488;8.544;4.805;121.999;-24.263;58.605;7.191
16;123.32;71.559;43.6;48.372;127.138;60.242;22.247;72.44
17;107.748;9.638;31.578;42.698;129.341;-12.872;69.75;50.556
18;102.956;33.365;11.517;20.813;127.505;9.848;25.373;77.304
19;89.381;9.638;12.597;0.955;135.581;-18.471;57.997;20.768
20;110.942;46.953;29.213;25.677;129.708;46.469;8.873;63.322
21;110.942;7.407;31.173;45.535;122.366;-21.56;75.221;38.195
22;104.154;60.405;36.913;67.42;128.973;68.737;14.344;113.778
23;94.971;3.621;6.654;9.582;131.91;-17.312;51.31;21.376
24;122.92;71.221;29.416;37.024;122.733;24.007;9.481;56.027
25;107.748;8.962;34.82;40.266;124.936;-22.204;68.94;47.719
26;104.554;47.156;6.315;37.632;131.91;41.32;9.364;95.338
27;96.967;5.311;4.491;1.072;134.847;-16.347;56.174;17.323
28;102.956;5.852;10.504;20.727;135.948;-19.436;41.381;26.644
29;111.741;13.829;29.552;47.967;122.366;-18.6;76.235;35.358
30;112.938;52.564;19.284;58.504;116.126;26.646;0.565;90.475
31;97.366;4.77;5.235;12.014;126.771;-20.917;53.539;22.794
32;131.705;83.187;38.332;49.182;118.695;25.487;13.331;56.027
33;106.949;7.812;38.265;35.606;126.771;-25.293;69.142;51.974
34;110.942;42.288;2.601;38.037;124.201;17.828;21.117;80.343
35;99.363;7.474;6.112;4.197;129.341;3.798;50.905;20.363
36;112.938;60.878;55.353;47.764;130.809;62.237;36.837;86.22
37;106.55;9.908;38.062;36.214;129.708;-22.397;68.737;52.177
38;105.751;29.782;8.275;28.311;130.809;41.449;16.457;86.017
39;97.766;3.216;3.275;2.287;128.239;-19.629;55.768;9.826
40;115.334;48.372;26.376;27.5;125.303;44.023;9.075;58.053
41;106.151;6.258;31.781;40.469;129.341;-20.981;75.829;43.869
42;120.924;69.126;32.455;77.754;116.493;60.499;21.842;106.483
43;100.561;1.39;14.151;9.582;133.011;-3.089;48.473;25.023
44;119.327;51.076;27.795;30.135;124.936;53.741;19.815;69.603
45;110.143;8.962;34.01;43.509;120.531;-3.797;67.116;42.45
46;110.942;49.454;12.597;50.601;124.936;34.884;2.388;98.986
47;98.564;5.784;4.222;8.366;131.176;-23.684;58.808;18.539
48;115.733;52.158;27.997;29.729;128.606;24.393;3.199;56.432
49;109.345;8.691;33.199;40.672;128.606;-28.897;78.464;44.071
50;120.924;72.573;19.081;64.178;118.328;27.482;4.415;93.92
51;88.582;4.5;0.844;10.798;138.885;-23.491;61.037;24.415
52;122.521;51.617;16.447;23.65;126.404;32.052;4.617;54.0
53;115.334;4.703;36.847;42.293;125.303;-17.57;75.424;42.653
54;119.726;90.758;45.019;88.089;121.999;66.935;24.881;114.589
55;96.169;0.647;16.988;18.296;133.745;-14.03;50.5;28.266
56;124.118;56.552;26.984;34.795;118.695;54.9;27.921;67.982
57;121.323;11.192;42.115;44.927;116.126;-20.595;70.358;37.992
58;108.546;30.864;8.68;32.566;126.037;36.557;13.823;83.788
59;91.377;3.689;0.641;8.974;135.581;-26.838;62.253;15.499
60;124.917;62.095;21.108;31.553;120.898;22.913;2.996;49.542
61;107.348;10.449;33.199;43.306;125.303;-20.981;72.992;45.49
62;110.143;23.158;25.904;13.924;132.644;13.58;36.113;70.211
63;99.762;5.446;7.734;2.779;136.315;-22.268;62.861;14.689
64;132.104;47.223;15.636;31.756;128.606;11.392;10.986;45.287
65;110.942;7.001;33.199;42.495;127.872;-27.739;77.248;43.869
66;108.546;41.545;7.936;41.482;130.442;46.855;2.272;101.417
67;104.154;9.908;1.857;2.373;126.037;-30.378;61.239;8.812
68;116.133;56.687;35.9;31.958;139.619;38.938;1.781;67.374
69;108.147;3.892;27.323;27.095;135.948;-18.728;74.614;48.124
70;122.521;56.349;19.081;52.83;137.049;43.572;6.325;95.744
71;102.956;-1.381;9.491;9.177;135.581;-22.461;59.416;20.971
72;122.521;68.855;54.137;51.411;131.543;52.518;25.692;78.519
73;104.554;1.12;40.089;13.316;140.353;-3.539;62.861;62.106
74;125.316;71.289;40.561;71.878;124.201;54.642;22.449;105.47
75;103.356;-0.908;23.067;15.053;144.024;-11.456;56.376;31.913
76;122.521;68.314;48.058;47.764;128.239;51.167;28.326;76.088
77;103.356;1.458;38.265;14.937;139.619;-2.896;63.874;58.256
78;126.913;69.126;35.292;68.838;128.973;57.152;25.084;111.752
79;110.143;2.066;21.041;10.393;135.581;-11.198;53.134;24.618
80;127.312;70.207;46.842;49.993;126.404;54.771;33.594;79.938
81;104.953;1.188;40.697;15.139;144.391;4.956;63.266;61.295
82;127.712;70.951;35.495;70.865;132.277;59.083;24.678;115.399
83;109.744;1.12;21.851;11.811;135.581;-9.074;50.905;26.644
84;126.913;69.531;43.803;47.967;124.201;53.033;32.581;77.709
85;106.151;1.931;39.683;17.166;135.948;-3.668;62.658;56.027
86;126.115;66.895;32.05;66.407;132.644;56.38;19.815;110.739
87;110.543;1.255;23.067;11.811;136.682;-12.872;53.742;26.239
88;129.708;66.354;36.305;43.509;122.366;48.979;27.11;71.225
89;111.741;3.148;40.697;21.624;135.214;3.862;64.076;54.406
90;118.528;55.538;19.689;51.209;140.353;52.004;6.239;106.483
91;103.755;2.202;16.583;13.432;140.72;-9.975;55.363;25.226
92;121.323;70.478;38.332;39.253;131.543;53.42;24.881;77.304
93;109.345;4.5;37.454;21.421;133.011;-14.931;69.75;49.948
94;131.705;56.89;6.315;49.385;134.113;43.122;2.272;94.528
95;108.946;0.985;18.812;12.217;137.416;-23.684;59.618;21.579
96;122.122;70.883;50.287;51.209;129.708;58.761;36.837;85.206
97;111.341;1.188;43.331;17.976;133.378;3.09;62.861;55.014
98;132.104;73.384;37.116;76.741;126.037;60.37;27.313;111.347
99;104.154;-1.246;24.486;14.851;142.555;-7.916;52.729;30.495
100;118.928;69.802;39.547;39.253;138.885;58.697;24.881;83.18
101;112.539;5.446;37.049;24.461;134.113;-12.485;69.548;48.529
102;139.291;74.601;21.513;68.636;122.733;52.518;17.384;101.012
103;111.341;1.39;20.838;11.203;135.581;-14.867;53.134;23.2
104;130.507;60.473;20.5;30.945;128.606;40.161;8.265;61.093
105;110.143;4.297;37.657;22.029;134.847;-16.09;69.75;48.327
106;128.111;57.904;11.178;49.79;132.277;42.285;6.528;90.07
107;114.136;2.675;18.204;3.908;138.15;-19.823;56.376;19.35
108;124.118;43.573;7.936;16.355;117.594;30.829;2.591;47.313
109;116.532;6.528;38.873;41.077;128.606;-14.931;78.261;42.653
110;111.741;73.587;39.953;78.565;115.759;61.979;27.921;111.752
111;93.374;2.066;10.301;14.04;129.708;-8.495;51.513;24.01
